date,open,high,low,close,volume,symbol
2024-10-22,12.15,12.49,11.8,12.0,103852,TCS
2024-10-21,11.79,12.27,11.31,12.07,78674,TCS
2024-10-18,11.42,12.835,11.42,12.0,127303,TCS
2024-10-17,12.18,12.2799,11.39,11.8,78694,TCS
2024-10-16,13.76,13.855,11.82,12.0,359374,TCS
2024-10-15,13.56,13.56,10.44,10.7,139803,TCS
2024-10-14,16.92,18.6384,13.165,13.36,177576,TCS
2024-10-11,10.44,18.185,10.44,17.18,457333,TCS
2024-10-10,10.69,10.73,9.6952,10.17,47913,TCS
2024-10-09,9.15,10.94,9.15,10.87,87525,TCS
2024-10-08,10.08,10.43,8.61,9.23,53778,TCS
2024-10-07,8.0,10.77,7.55,10.17,269806,TCS
2024-10-04,8.02,8.02,7.57,7.6896,13805,TCS
2024-10-03,8.82,8.925,7.6572,7.87,63634,TCS
2024-10-02,9.31,9.33,8.8,8.93,73092,TCS
2024-10-01,9.09,9.35,8.895,9.07,7278,TCS
2024-09-30,9.5,9.5,8.87,9.26,93250,TCS
2024-09-27,9.75,9.9899,9.29,9.34,44935,TCS
2024-09-26,10.0,10.2,9.2301,9.64,44025,TCS
2024-09-25,11.73,11.73,9.53,9.8,84764,TCS
2024-09-24,12.13,12.36,11.71,11.86,14438,TCS
2024-09-23,12.41,12.41,11.8701,11.99,46184,TCS
2024-09-20,14.62,15.54,11.645,12.22,84093,TCS
2024-09-19,14.6,15.6,14.0832,14.8,58716,TCS
2024-09-18,13.55,14.8368,13.2373,14.18,75468,TCS
2024-09-17,12.5,13.89,11.7,13.73,57324,TCS
2024-09-16,10.11,13.97,9.5,12.48,188999,TCS
2025-10-23,17.5,17.645,17.35,17.53,14138830,INFY
2025-10-22,17.41,17.56,17.365,17.47,23013103,INFY
2025-10-21,16.76,17.41,16.72,17.41,24526950,INFY
2025-10-20,16.37,16.92,16.345,16.91,19872948,INFY
2025-10-17,16.135,16.39,16.135,16.33,12874555,INFY
2025-10-16,16.2,16.29,15.815,16.07,30758856,INFY
2025-10-15,16.55,16.665,16.44,16.44,23613322,INFY
2025-10-14,16.7,16.7,16.405,16.48,19181628,INFY
2025-10-13,16.67,16.8599,16.64,16.78,9959807,INFY
2025-10-10,17.0,17.07,16.58,16.58,15132747,INFY
2025-10-09,16.965,17.1759,16.88,17.06,21105928,INFY
2025-10-08,16.68,16.785,16.59,16.74,13231324,INFY
2025-10-07,16.47,16.47,16.26,16.39,15178858,INFY
2025-10-06,16.49,16.715,16.385,16.69,21090493,INFY
2025-10-03,16.24,16.25,16.07,16.23,15110143,INFY
2025-10-02,16.32,16.43,16.03,16.15,13738838,INFY
2025-10-01,16.22,16.4,16.21,16.37,15899286,INFY
2025-09-30,16.31,16.4356,16.21,16.27,13331590,INFY
2025-09-29,16.44,16.4799,16.22,16.32,19370271,INFY
2025-09-26,16.47,16.6,16.36,16.52,19463621,INFY
2025-09-25,16.75,16.86,16.49,16.54,17831301,INFY
2025-09-24,16.9,17.04,16.82,17.03,17049604,INFY
2025-09-23,17.11,17.14,16.88,16.88,11524522,INFY
2025-09-22,16.87,17.175,16.79,17.15,14994445,INFY
2025-09-19,17.55,17.605,16.24,16.97,54720207,INFY
2025-09-18,17.53,17.595,17.44,17.57,13245843,INFY
2025-09-17,17.2,17.78,17.195,17.68,32050779,INFY
2025-09-16,16.99,17.08,16.88,17.06,17749689,INFY
2025-09-15,16.985,17.1,16.84,16.92,18852771,INFY
2025-09-12,17.04,17.07,16.895,16.96,12967068,INFY
2025-09-11,16.89,17.14,16.555,17.07,30237614,INFY
2025-09-10,17.2,17.25,16.91,16.98,17813243,INFY
2025-09-09,16.99,17.14,16.925,17.01,14880286,INFY
2025-09-08,16.61,16.81,16.5,16.79,25548179,INFY
2025-09-05,16.49,16.64,16.32,16.38,23403965,INFY
2025-09-04,16.57,16.6,16.28,16.59,15167714,INFY
2025-09-03,16.8,16.85,16.495,16.64,19262859,INFY
2025-09-02,16.77,16.9,16.7,16.89,13503120,INFY
2025-08-29,16.73,16.89,16.65,16.82,17333226,INFY
